cite1,cite2,n
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",68
"Hartz, SM, 2002, THESIS","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",67
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",63
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",62
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",62
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",62
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",62
"Kolen, MJ, 2014, TEST EQUATING LINKIN","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",60
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Rasch, GEORG, 1993, PROBABILISITIC MODEL",60
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",59
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",59
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",58
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",56
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",55
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Mantel, N, 1959, J NATL CANCER I, V22, P719",55
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",54
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",54
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",54
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",53
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Rasch, GEORG, 1993, PROBABILISITIC MODEL",52
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",52
"Embretson, SE, 2000, ITEM RESONSE THEORY","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",52
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",52
"Bock, RD, 1970, PSYCHOMETRIKA, V35, P179","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",51
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",51
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",50
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",50
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",49
"Hambleton, RK, 1995, FUNAMENTALS ITEM RES","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",49
"Hartz, SM, 2002, THESIS","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",49
"Baker, FB, 2004, ITEM RESPONSE THEORY","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",48
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Lord, FM, 2008, STAT THEORIES MENT",48
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",48
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",48
"Haebara, T, 1980, JPN PSYCHOL RES, V22, P144, DOI 10.4992/PSYCHOLRES1954.22.144","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",48
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",47
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",47
"Kolen, MJ, 2014, TEST EQUATING LINKIN","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",47
"Lord, FM, 2008, STAT THEORIES MENT","Rasch, GEORG, 1993, PROBABILISITIC MODEL",47
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",47
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957",46
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",46
"Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",46
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",45
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",44
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",44
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Hartz, SM, 2002, THESIS",44
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",44
"Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034","Nunnally, JC, 1995, PSYCHOMETRIC THEORY",44
"Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",44
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Lord, FM, 2008, STAT THEORIES MENT",43
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Hartz, SM, 2002, THESIS",43
"Dorans, NJ, 1993, DIFFERENTIAL ITEM FU, P35","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",43
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",43
"Hartz, SM, 2002, THESIS","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",43
"Hartz, SM, 2002, THESIS","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",43
"Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",43
"Cronbach, LJ, 1951, PSYCHOMETRIKA, V16, P167","Lord, FM, 2008, STAT THEORIES MENT",42
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",42
"Jodoin, MG, 2001, APPL MEAS EDUC, V14, P329, DOI 10.1207/S15324818AME1404_2","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",42
"Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",42
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",41
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Shealy, R, 1993, PSYCHOMETRIKA, V58, P159, DOI 10.1007/BF02294572",41
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Thissen, D, 1988, TEST VALIDITY, P147",41
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",40
"Bock, RD, 1982, APPL PSYCH MEAS, V6, P431, DOI 10.1177/014662168200600405","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",40
"Bollen, KA, 2014, STRUCRURAL EQUATIONS","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",40
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",40
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",40
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Rasch, GEORG, 1993, PROBABILISITIC MODEL",40
"Chang, HH, 1996, APPL PSYCH MEAS, V20, P213, DOI 10.1177/014662169602000303","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",39
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Hartz, SM, 2002, THESIS",39
"Gelman, A, 2014, AYESIAN DATA ANAL","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",39
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",39
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Thissen, D, 1986, PSYCHOMETRIKA, V51, P567, DOI 10.1007/BF02295596",38
"Camilli, G, 1994, METHODS IDENTIFFING","Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004",38
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Yen, WM, 1984, APPL PSYCH MEAS, V8, P125, DOI 10.1177/014662168400800201",38
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",38
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",38
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",38
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",38
"Mantel, N, 1959, J NATL CANCER I, V22, P719","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",38
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",37
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Rasch, GEORG, 1993, PROBABILISITIC MODEL",37
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",37
"Cronbach, LJ, 1951, PSYCHOMETRIKA, V16, P167","Mcdonald, RP, 1999, TEST THEORY UNIFED A",37
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",37
"de la Torre, J, 2008, J EDUC MEAS, V45, P159, DOI 10.1111/J.1745-3984.2008.00058.X","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",37
"Fan, XT, 2001, EDUC PSYCHOL MEAS, V61, P517, DOI 10.1177/00131640121971365","Henson, RK, 2001, MEAS EVAL COUNS DEV, V34, P177, DOI 10.1080/07481756.2002.12069034",37
"Gelman, A, 1992, STAT SCI, V7, P472, DOI [DOI 10.1214/SS/1177011136, 10.1214/SS/1177011136]","Gelman, A, 2014, AYESIAN DATA ANAL",37
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",37
"Hartz, SM, 2002, THESIS","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",37
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Mislevy, RL, 1997, BILOG 3 ITEM ANAL TE",37
"Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",37
"RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",37
"Chen, WH, 1997, J EDUC BEHAV STAT, V22, P265, DOI 10.2307/1165285","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",36
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474",36
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Snijders, TAB, 2001, PSYCHOMETRIKA, V66, P331, DOI 10.1007/BF02294437",36
"Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118","Muthen, LK, 2018, MPLUS 7 USERS GUIDE",36
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Tatsuoka, K, 1985, J ED STAT, V12, P55, DOI DOI 10.3102/10769986010001055",36
"Baker, FB, 2004, ITEM RESPONSE THEORY","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",35
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",35
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Dempster, AP, 1977, J ROY STAT SOC B MET, V39, P1",35
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5",35
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",35
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",35
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Raju, NS, 1988, PSYCHOMETRIKA, V53, P495, DOI 10.1007/BF02294403",35
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Rupp, AA, 2008, EDUC PSYCHOL MEAS, V68, P78, DOI 10.1177/0013164407301545",35
"Lord, FM, 2008, STAT THEORIES MENT","Mcdonald, RP, 1999, TEST THEORY UNIFED A",35
"Sireci, SG, 1991, J EDUC MEAS, V28, P237, DOI 10.1111/J.1745-3984.1991.TB00356.X","Yen, WM, 1993, J EDUC MEAS, V30, P187, DOI 10.1111/J.1745-3984.1993.TB00423.X",35
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Zumbo, BD, 1999, HDB THEORY METHODS D",35
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7",34
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",34
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",34
"Drasgow, F, 1985, BRIT J MATH STAT PSY, V38, P67, DOI 10.1111/J.2044-8317.1985.TB00817.X","Levine, MV, 1979, J EDUC STATIST, V4, P269, DOI DOI 10.2307/1164595",34
"Henson, RA, 2009, PSYCHOMETRIKA, V74, P191, DOI 10.1007/S11336-008-9089-5","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",34
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","von Davier, M, 2008, BRIT J MATH STAT PSY, V61, P287, DOI 10.1348/000711007X193957",34
"Loyd, BH, 1980, J EDUC MEAS, V17, P179, DOI 10.1111/J.1745-3984.1980.TB00825.X","Stocking, ML, 1983, APPL PSYCH MEAS, V7, P201, DOI 10.1177/014662168300700208",34
"Meijer, RR, 2001, APPL PSYCH MEAS, V25, P107, DOI 10.1177/01466210122031957","Snijders, TAB, 2001, PSYCHOMETRIKA, V66, P331, DOI 10.1007/BF02294437",34
"Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",33
"de la Torre, J, 2011, PSYCHOMETRIKA, V76, P179, DOI 10.1007/S11336-011-9207-7","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",33
"Gelfand, AE, 1990, J AM STAT ASSOC, V85, P398, DOI 10.2307/2289776","Gelman, A, 2014, AYESIAN DATA ANAL",33
"Hartz, SM, 2002, THESIS","Maris, E, 1999, PSYCHOMETRIKA, V64, P187, DOI 10.1007/BF02294535",33
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Leighton, JP, 2004, J EDUC MEAS, V41, P205, DOI 10.1111/J.1745-3984.2004.TB01163.X",33
"Rogers, HJ, 1993, APPL PSYCH MEAS, V17, P105, DOI 10.1177/014662169301700201","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",33
"Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X","Thissen, D, 1988, TEST VALIDITY, P147",33
"Albert, JH, 1992, J EDUC STAT, V17, P251, DOI 10.2307/1165149","Patz, RJ, 1999, J EDUC BEHAV STAT, V24, P146, DOI 10.3102/10769986024002146",32
"Bentler, PM, 1990, PSYCHOL BULL, V107, P238, DOI 10.1037/0033-2909.107.2.238","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",32
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Vandenberg, RJ, 2000, ORGAN RES METHODS, V3, P4, DOI 10.1177/109442810031002",32
"Chiu, CY, 2009, PSYCHOMETRIKA, V74, P633, DOI 10.1007/S11336-009-9125-0","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",32
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X",32
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","RUPP ANDRE A, 2010, DIAGNOSTIC MEASUREME",32
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Holland, PW, 2012, DIFFERENTIAL ITEM F",32
"American Psychological, ASSOCIATION, 2010, PUBL MAN AM PSYCH AS","Wilkinson, L, 1999, AM PSYCHOL, V54, P594, DOI 10.1037/0003-066X.54.8.594",31
"Bock, RD, 1972, PSYCHOMETRIKA, V37, P29","Bock, RD, 1981, PSYCHOMETRIKA, V46, P443, DOI 10.1007/BF02293801",31
"Bradlow, ET, 1999, PSYCHOMETRIKA, V64, P153, DOI 10.1007/BF02294533","Wainer, H, 1987, J EDUC MEAS, V24, P185, DOI 10.1111/J.1745-3984.1987.TB00274.X",31
"Cheung, GW, 2002, STRUCT EQU MODELING, V9, P233, DOI 10.1207/S15328007SEM0902_5","Hu, LT, 1999, STRUCT EQU MODELING, V6, P1, DOI 10.1080/10705519909540118",31
"de la Torre, J, 2009, J EDUC BEHAV STAT, V34, P115, DOI 10.3102/1076998607309474","Tatsuoka, KK, 1983, J EDUC MEAS, V20, P221, DOI 10.1111/J.1745-3984.1983.TB00201.X",31
"Dibello, LV, 1995, COGNITIVELY DIAGNOST, P327","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",31
"Gelman, A, 2014, AYESIAN DATA ANAL","Spiegelhalter, DJ, 2002, J ROY STAT SOC B, V64, P583, DOI 10.1111/1467-9868.00353",31
"Hartz, SM, 2002, THESIS","Tatsuoka, C, 2002, J ROY STAT SOC C-APP, V51, P337, DOI 10.1111/1467-9876.00272",31
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Roussos, LA, 1996, J EDUC MEAS, V33, P215, DOI 10.1111/J.1745-3984.1996.TB00490.X",31
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Thissen, D, 1988, TEST VALIDITY, P147",31
"Lord, FM, 2008, STAT THEORIES MENT","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",31
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","R Core, TEAM, 2019, LANG ENV STAT COMP",31
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Thissen, D, 1993, DIFFERENTIAL ITEM FU, P67",31
"Lord, FREDERIC, 1983, APPL ITEM REPSONSE T","Warm, TA, 1989, PSYCHOMETRIKA, V54, P427, DOI 10.1007/BF02294627",31
"Rasch, GEORG, 1993, PROBABILISITIC MODEL","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",31
"Stout, W, 1987, PSYCHOMETRIKA, V52, P589, DOI 10.1007/BF02294821","Zhang, JM, 1999, PSYCHOMETRIKA, V64, P129, DOI 10.1007/BF02294532",31
